date,interest,case_id,sector
2022-05-01,71,F5,Finance
2022-06-01,76,F5,Finance
2022-07-01,79,F5,Finance
2022-08-01,74,F5,Finance
2022-09-01,100,F5,Finance
2022-10-01,88,F5,Finance
2022-11-01,87,F5,Finance
2022-12-01,85,F5,Finance
2023-01-01,78,F5,Finance
2023-02-01,76,F5,Finance
2023-03-01,68,F5,Finance
2023-04-01,71,F5,Finance
2023-05-01,68,F5,Finance
2023-06-01,79,F5,Finance
2023-07-01,79,F5,Finance
2023-08-01,75,F5,Finance
2023-09-01,98,F5,Finance
2023-10-01,83,F5,Finance
2023-11-01,86,F5,Finance
2023-12-01,88,F5,Finance
2024-01-01,81,F5,Finance
2021-02-01,41,F6,Finance
2021-03-01,42,F6,Finance
2021-04-01,34,F6,Finance
2021-05-01,36,F6,Finance
2021-06-01,42,F6,Finance
2021-07-01,40,F6,Finance
2021-08-01,32,F6,Finance
2021-09-01,33,F6,Finance
2021-10-01,40,F6,Finance
2021-11-01,37,F6,Finance
2021-12-01,34,F6,Finance
2022-01-01,37,F6,Finance
2022-02-01,58,F6,Finance
2022-03-01,100,F6,Finance
2022-04-01,53,F6,Finance
2022-05-01,48,F6,Finance
2022-06-01,59,F6,Finance
2022-07-01,64,F6,Finance
2022-08-01,51,F6,Finance
2022-09-01,56,F6,Finance
2022-10-01,45,F6,Finance
2022-11-01,41,F6,Finance
2022-12-01,44,F6,Finance
2023-01-01,39,F6,Finance
2023-02-01,39,F6,Finance
2023-03-01,39,F6,Finance
2023-04-01,36,F6,Finance
2023-05-01,36,F6,Finance
2023-06-01,38,F6,Finance
2023-07-01,36,F6,Finance
2023-08-01,37,F6,Finance
2023-09-01,41,F6,Finance
2023-10-01,46,F6,Finance
2023-11-01,40,F6,Finance
2023-12-01,42,F6,Finance
2024-01-01,37,F6,Finance
2021-02-01,0,F7,Finance
2021-03-01,1,F7,Finance
2021-04-01,1,F7,Finance
2021-05-01,1,F7,Finance
2021-06-01,0,F7,Finance
2021-07-01,1,F7,Finance
2021-08-01,1,F7,Finance
2021-09-01,1,F7,Finance
2021-10-01,1,F7,Finance
2021-11-01,1,F7,Finance
2021-12-01,1,F7,Finance
2022-01-01,1,F7,Finance
2022-02-01,1,F7,Finance
2022-03-01,1,F7,Finance
2022-04-01,1,F7,Finance
2022-05-01,1,F7,Finance
2022-06-01,1,F7,Finance
2022-07-01,1,F7,Finance
2022-08-01,1,F7,Finance
2022-09-01,1,F7,Finance
2022-10-01,1,F7,Finance
2022-11-01,1,F7,Finance
2022-12-01,1,F7,Finance
2023-01-01,1,F7,Finance
2023-02-01,1,F7,Finance
2023-03-01,100,F7,Finance
2023-04-01,5,F7,Finance
2023-05-01,3,F7,Finance
2023-06-01,2,F7,Finance
2023-07-01,1,F7,Finance
2023-08-01,1,F7,Finance
2023-09-01,1,F7,Finance
2023-10-01,1,F7,Finance
2023-11-01,1,F7,Finance
2023-12-01,1,F7,Finance
2024-01-01,1,F7,Finance
2021-02-01,1,G1,Geopolitics
2021-03-01,2,G1,Geopolitics
2021-04-01,2,G1,Geopolitics
2021-05-01,1,G1,Geopolitics
2021-06-01,5,G1,Geopolitics
2021-07-01,4,G1,Geopolitics
2021-08-01,1,G1,Geopolitics
2021-09-01,2,G1,Geopolitics
2021-10-01,1,G1,Geopolitics
2021-11-01,2,G1,Geopolitics
2021-12-01,3,G1,Geopolitics
2022-01-01,7,G1,Geopolitics
2022-02-01,100,G1,Geopolitics
2022-03-01,87,G1,Geopolitics
2022-04-01,30,G1,Geopolitics
2022-05-01,23,G1,Geopolitics
2022-06-01,17,G1,Geopolitics
2022-07-01,13,G1,Geopolitics
2022-08-01,12,G1,Geopolitics
2022-09-01,16,G1,Geopolitics
2022-10-01,19,G1,Geopolitics
2022-11-01,12,G1,Geopolitics
2022-12-01,11,G1,Geopolitics
2023-01-01,12,G1,Geopolitics
2023-02-01,13,G1,Geopolitics
2023-03-01,12,G1,Geopolitics
2023-04-01,9,G1,Geopolitics
2023-05-01,11,G1,Geopolitics
2023-06-01,14,G1,Geopolitics
2023-07-01,11,G1,Geopolitics
2023-08-01,10,G1,Geopolitics
2023-09-01,11,G1,Geopolitics
2023-10-01,8,G1,Geopolitics
2023-11-01,7,G1,Geopolitics
2023-12-01,7,G1,Geopolitics
2024-01-01,6,G1,Geopolitics
2021-02-01,2,G2,Geopolitics
2021-03-01,3,G2,Geopolitics
2021-04-01,3,G2,Geopolitics
2021-05-01,49,G2,Geopolitics
2021-06-01,6,G2,Geopolitics
2021-07-01,3,G2,Geopolitics
2021-08-01,3,G2,Geopolitics
2021-09-01,3,G2,Geopolitics
2021-10-01,3,G2,Geopolitics
2021-11-01,3,G2,Geopolitics
2021-12-01,3,G2,Geopolitics
2022-01-01,3,G2,Geopolitics
2022-02-01,3,G2,Geopolitics
2022-03-01,4,G2,Geopolitics
2022-04-01,4,G2,Geopolitics
2022-05-01,4,G2,Geopolitics
2022-06-01,3,G2,Geopolitics
2022-07-01,3,G2,Geopolitics
2022-08-01,3,G2,Geopolitics
2022-09-01,3,G2,Geopolitics
2022-10-01,3,G2,Geopolitics
2022-11-01,3,G2,Geopolitics
2022-12-01,4,G2,Geopolitics
2023-01-01,3,G2,Geopolitics
2023-02-01,14,G2,Geopolitics
2023-03-01,4,G2,Geopolitics
2023-04-01,4,G2,Geopolitics
2023-05-01,3,G2,Geopolitics
2023-06-01,3,G2,Geopolitics
2023-07-01,3,G2,Geopolitics
2023-08-01,3,G2,Geopolitics
2023-09-01,3,G2,Geopolitics
2023-10-01,100,G2,Geopolitics
2023-11-01,46,G2,Geopolitics
2023-12-01,23,G2,Geopolitics
2021-02-01,68,G3,Geopolitics
2021-03-01,79,G3,Geopolitics
2021-04-01,81,G3,Geopolitics
2021-05-01,82,G3,Geopolitics
2021-06-01,70,G3,Geopolitics
2021-07-01,78,G3,Geopolitics
2021-08-01,85,G3,Geopolitics
2021-09-01,67,G3,Geopolitics
2021-10-01,52,G3,Geopolitics
2021-11-01,56,G3,Geopolitics
2021-12-01,90,G3,Geopolitics
2022-01-01,100,G3,Geopolitics
2022-02-01,45,G3,Geopolitics
2022-03-01,32,G3,Geopolitics
2022-04-01,27,G3,Geopolitics
2022-05-01,22,G3,Geopolitics
2022-06-01,25,G3,Geopolitics
2022-07-01,27,G3,Geopolitics
2022-08-01,17,G3,Geopolitics
2022-09-01,14,G3,Geopolitics
2022-10-01,13,G3,Geopolitics
2022-11-01,12,G3,Geopolitics
2022-12-01,15,G3,Geopolitics
2023-01-01,10,G3,Geopolitics
2023-02-01,7,G3,Geopolitics
2023-03-01,7,G3,Geopolitics
2023-04-01,7,G3,Geopolitics
2023-05-01,5,G3,Geopolitics
2023-06-01,4,G3,Geopolitics
2023-07-01,4,G3,Geopolitics
2023-08-01,6,G3,Geopolitics
2023-09-01,8,G3,Geopolitics
2023-10-01,6,G3,Geopolitics
2023-11-01,6,G3,Geopolitics
2023-12-01,8,G3,Geopolitics
2021-02-01,4,G4,Geopolitics
2021-03-01,5,G4,Geopolitics
2021-04-01,7,G4,Geopolitics
2021-05-01,4,G4,Geopolitics
2021-06-01,8,G4,Geopolitics
2021-07-01,3,G4,Geopolitics
2021-08-01,4,G4,Geopolitics
2021-09-01,3,G4,Geopolitics
2021-10-01,4,G4,Geopolitics
2021-11-01,3,G4,Geopolitics
2021-12-01,5,G4,Geopolitics
2022-01-01,7,G4,Geopolitics
2022-02-01,100,G4,Geopolitics
2022-03-01,83,G4,Geopolitics
2022-04-01,24,G4,Geopolitics
2022-05-01,23,G4,Geopolitics
2022-06-01,9,G4,Geopolitics
2022-07-01,8,G4,Geopolitics
2022-08-01,6,G4,Geopolitics
2022-09-01,11,G4,Geopolitics
2022-10-01,11,G4,Geopolitics
2022-11-01,6,G4,Geopolitics
2022-12-01,7,G4,Geopolitics
2023-01-01,8,G4,Geopolitics
2023-02-01,8,G4,Geopolitics
2023-03-01,9,G4,Geopolitics
2023-04-01,6,G4,Geopolitics
2023-05-01,7,G4,Geopolitics
2023-06-01,12,G4,Geopolitics
2023-07-01,12,G4,Geopolitics
2023-08-01,7,G4,Geopolitics
2023-09-01,5,G4,Geopolitics
2023-10-01,10,G4,Geopolitics
2023-11-01,6,G4,Geopolitics
2023-12-01,6,G4,Geopolitics
2021-02-01,29,G5,Geopolitics
2021-03-01,17,G5,Geopolitics
2021-04-01,14,G5,Geopolitics
2021-05-01,15,G5,Geopolitics
2021-06-01,15,G5,Geopolitics
2021-07-01,13,G5,Geopolitics
2021-08-01,13,G5,Geopolitics
2021-09-01,13,G5,Geopolitics
2021-10-01,12,G5,Geopolitics
2021-11-01,11,G5,Geopolitics
2021-12-01,11,G5,Geopolitics
2022-01-01,11,G5,Geopolitics
2022-02-01,13,G5,Geopolitics
2022-03-01,12,G5,Geopolitics
2022-04-01,11,G5,Geopolitics
2022-05-01,9,G5,Geopolitics
2022-06-01,11,G5,Geopolitics
2022-07-01,17,G5,Geopolitics
2022-08-01,16,G5,Geopolitics
2022-09-01,12,G5,Geopolitics
2022-10-01,11,G5,Geopolitics
2022-11-01,20,G5,Geopolitics
2022-12-01,12,G5,Geopolitics
2023-01-01,9,G5,Geopolitics
2023-02-01,9,G5,Geopolitics
2023-03-01,21,G5,Geopolitics
2023-04-01,25,G5,Geopolitics
2023-05-01,11,G5,Geopolitics
2023-06-01,15,G5,Geopolitics
2023-07-01,9,G5,Geopolitics
2023-08-01,26,G5,Geopolitics
2023-09-01,13,G5,Geopolitics
2023-10-01,12,G5,Geopolitics
2023-11-01,11,G5,Geopolitics
2023-12-01,12,G5,Geopolitics
2021-02-01,32,G6,Geopolitics
2021-03-01,33,G6,Geopolitics
2021-04-01,37,G6,Geopolitics
2021-05-01,41,G6,Geopolitics
2021-06-01,37,G6,Geopolitics
2021-07-01,37,G6,Geopolitics
2021-08-01,36,G6,Geopolitics
2021-09-01,36,G6,Geopolitics
2021-10-01,46,G6,Geopolitics
2021-11-01,36,G6,Geopolitics
2021-12-01,37,G6,Geopolitics
2022-01-01,38,G6,Geopolitics
2022-02-01,59,G6,Geopolitics
2022-03-01,49,G6,Geopolitics
2022-04-01,42,G6,Geopolitics
2022-05-01,42,G6,Geopolitics
2022-06-01,44,G6,Geopolitics
2022-07-01,46,G6,Geopolitics
2022-08-01,100,G6,Geopolitics
2022-09-01,50,G6,Geopolitics
2022-10-01,43,G6,Geopolitics
2022-11-01,41,G6,Geopolitics
2022-12-01,41,G6,Geopolitics
2023-01-01,41,G6,Geopolitics
2023-02-01,46,G6,Geopolitics
2023-03-01,46,G6,Geopolitics
2023-04-01,57,G6,Geopolitics
2023-05-01,47,G6,Geopolitics
2023-06-01,48,G6,Geopolitics
2023-07-01,48,G6,Geopolitics
2023-08-01,47,G6,Geopolitics
2023-09-01,49,G6,Geopolitics
2023-10-01,46,G6,Geopolitics
2023-11-01,43,G6,Geopolitics
2023-12-01,43,G6,Geopolitics
2021-02-01,15,G7,Geopolitics
2021-03-01,14,G7,Geopolitics
2021-04-01,15,G7,Geopolitics
2021-05-01,14,G7,Geopolitics
2021-06-01,14,G7,Geopolitics
2021-07-01,21,G7,Geopolitics
2021-08-01,16,G7,Geopolitics
2021-09-01,18,G7,Geopolitics
2021-10-01,21,G7,Geopolitics
2021-11-01,27,G7,Geopolitics
2021-12-01,18,G7,Geopolitics
2022-01-01,18,G7,Geopolitics
2022-02-01,41,G7,Geopolitics
2022-03-01,34,G7,Geopolitics
2022-04-01,20,G7,Geopolitics
2022-05-01,27,G7,Geopolitics
2022-06-01,15,G7,Geopolitics
2022-07-01,17,G7,Geopolitics
2022-08-01,21,G7,Geopolitics
2022-09-01,100,G7,Geopolitics
2022-10-01,67,G7,Geopolitics
2022-11-01,49,G7,Geopolitics
2022-12-01,21,G7,Geopolitics
2023-01-01,15,G7,Geopolitics
2023-02-01,18,G7,Geopolitics
2023-03-01,42,G7,Geopolitics
2023-04-01,25,G7,Geopolitics
2023-05-01,14,G7,Geopolitics
2023-06-01,35,G7,Geopolitics
2023-07-01,27,G7,Geopolitics
2023-08-01,21,G7,Geopolitics
2023-09-01,20,G7,Geopolitics
2023-10-01,17,G7,Geopolitics
2023-11-01,39,G7,Geopolitics
2023-12-01,20,G7,Geopolitics
2021-02-01,89,M1,Media
2021-03-01,78,M1,Media
2021-04-01,84,M1,Media
2021-05-01,83,M1,Media
2021-06-01,78,M1,Media
2021-07-01,80,M1,Media
2021-08-01,76,M1,Media
2021-09-01,72,M1,Media
2021-10-01,84,M1,Media
2021-11-01,78,M1,Media
2021-12-01,84,M1,Media
2022-01-01,100,M1,Media
2022-02-01,86,M1,Media
2022-03-01,76,M1,Media
2022-04-01,79,M1,Media
2022-05-01,72,M1,Media
2022-06-01,75,M1,Media
2022-07-01,84,M1,Media
2022-08-01,77,M1,Media
2022-09-01,76,M1,Media
2022-10-01,79,M1,Media
2022-11-01,74,M1,Media
2022-12-01,86,M1,Media
2023-01-01,85,M1,Media
2023-02-01,81,M1,Media
2023-03-01,69,M1,Media
2023-04-01,73,M1,Media
2023-05-01,68,M1,Media
2023-06-01,75,M1,Media
2023-07-01,76,M1,Media
2023-08-01,70,M1,Media
2023-09-01,76,M1,Media
2023-10-01,70,M1,Media
2023-11-01,67,M1,Media
2023-12-01,78,M1,Media
2024-01-01,83,M1,Media
2021-02-01,76,M2,Media
2021-03-01,78,M2,Media
2021-04-01,75,M2,Media
2021-05-01,67,M2,Media
2021-06-01,79,M2,Media
2021-07-01,88,M2,Media
2021-08-01,77,M2,Media
2021-09-01,77,M2,Media
2021-10-01,75,M2,Media
2021-11-01,83,M2,Media
2021-12-01,91,M2,Media
2022-01-01,95,M2,Media
2022-02-01,87,M2,Media
2022-03-01,87,M2,Media
2022-04-01,92,M2,Media
2022-05-01,80,M2,Media
2022-06-01,90,M2,Media
2022-07-01,85,M2,Media
2022-08-01,80,M2,Media
2022-09-01,100,M2,Media
2022-10-01,86,M2,Media
2022-11-01,84,M2,Media
2022-12-01,89,M2,Media
2023-01-01,87,M2,Media
2023-02-01,82,M2,Media
2023-03-01,76,M2,Media
2023-04-01,81,M2,Media
2023-05-01,76,M2,Media
2023-06-01,79,M2,Media
2023-07-01,79,M2,Media
2023-08-01,76,M2,Media
2023-09-01,79,M2,Media
2023-10-01,95,M2,Media
2023-11-01,88,M2,Media
2023-12-01,88,M2,Media
2024-01-01,84,M2,Media
2021-02-01,16,M3,Media
2021-03-01,17,M3,Media
2021-04-01,18,M3,Media
2021-05-01,14,M3,Media
2021-06-01,13,M3,Media
2021-07-01,13,M3,Media
2021-08-01,14,M3,Media
2021-09-01,13,M3,Media
2021-10-01,13,M3,Media
2021-11-01,45,M3,Media
2021-12-01,21,M3,Media
2022-01-01,18,M3,Media
2022-02-01,17,M3,Media
2022-03-01,15,M3,Media
2022-04-01,18,M3,Media
2022-05-01,20,M3,Media
2022-06-01,15,M3,Media
2022-07-01,16,M3,Media
2022-08-01,19,M3,Media
2022-09-01,20,M3,Media
2022-10-01,42,M3,Media
2022-11-01,56,M3,Media
2022-12-01,27,M3,Media
2023-01-01,24,M3,Media
2023-02-01,25,M3,Media
2023-03-01,37,M3,Media
2023-04-01,50,M3,Media
2023-05-01,60,M3,Media
2023-06-01,83,M3,Media
2023-07-01,84,M3,Media
2023-08-01,78,M3,Media
2023-09-01,91,M3,Media
2023-10-01,100,M3,Media
2023-11-01,100,M3,Media
2023-12-01,79,M3,Media
2024-01-01,76,M3,Media
2021-02-01,63,M4,Media
2021-03-01,70,M4,Media
2021-04-01,71,M4,Media
2021-05-01,85,M4,Media
2021-06-01,100,M4,Media
2021-07-01,79,M4,Media
2021-08-01,72,M4,Media
2021-09-01,73,M4,Media
2021-10-01,74,M4,Media
2021-11-01,70,M4,Media
2021-12-01,76,M4,Media
2022-01-01,64,M4,Media
2022-02-01,67,M4,Media
2022-03-01,68,M4,Media
2022-04-01,73,M4,Media
2022-05-01,63,M4,Media
2022-06-01,78,M4,Media
2022-07-01,73,M4,Media
2022-08-01,51,M4,Media
2022-09-01,47,M4,Media
2022-10-01,54,M4,Media
2022-11-01,45,M4,Media
2022-12-01,46,M4,Media
2023-01-01,44,M4,Media
2023-02-01,43,M4,Media
2023-03-01,38,M4,Media
2023-04-01,39,M4,Media
2023-05-01,40,M4,Media
2023-06-01,43,M4,Media
2023-07-01,35,M4,Media
2023-08-01,31,M4,Media
2023-09-01,30,M4,Media
2023-10-01,30,M4,Media
2023-11-01,29,M4,Media
2023-12-01,30,M4,Media
2024-01-01,28,M4,Media
2021-02-01,21,M5,Media
2021-03-01,22,M5,Media
2021-04-01,18,M5,Media
2021-05-01,16,M5,Media
2021-06-01,24,M5,Media
2021-07-01,33,M5,Media
2021-08-01,48,M5,Media
2021-09-01,35,M5,Media
2021-10-01,26,M5,Media
2021-11-01,28,M5,Media
2021-12-01,24,M5,Media
2022-01-01,36,M5,Media
2022-02-01,69,M5,Media
2022-03-01,48,M5,Media
2022-04-01,25,M5,Media
2022-05-01,22,M5,Media
2022-06-01,20,M5,Media
2022-07-01,18,M5,Media
2022-08-01,19,M5,Media
2022-09-01,25,M5,Media
2022-10-01,100,M5,Media
2022-11-01,40,M5,Media
2022-12-01,58,M5,Media
2023-01-01,39,M5,Media
2023-02-01,22,M5,Media
2023-03-01,19,M5,Media
2023-04-01,16,M5,Media
2023-05-01,25,M5,Media
2023-06-01,29,M5,Media
2023-07-01,22,M5,Media
2023-08-01,35,M5,Media
2023-09-01,35,M5,Media
2023-10-01,26,M5,Media
2023-11-01,24,M5,Media
2023-12-01,31,M5,Media
2024-01-01,31,M5,Media
2021-02-01,67,M6,Media
2021-03-01,64,M6,Media
2021-04-01,68,M6,Media
2021-05-01,56,M6,Media
2021-06-01,55,M6,Media
2021-07-01,75,M6,Media
2021-08-01,65,M6,Media
2021-09-01,64,M6,Media
2021-10-01,56,M6,Media
2021-11-01,70,M6,Media
2021-12-01,85,M6,Media
2022-01-01,100,M6,Media
2022-02-01,69,M6,Media
2022-03-01,59,M6,Media
2022-04-01,71,M6,Media
2022-05-01,83,M6,Media
2022-06-01,85,M6,Media
2022-07-01,93,M6,Media
2022-08-01,63,M6,Media
2022-09-01,57,M6,Media
2022-10-01,55,M6,Media
2022-11-01,56,M6,Media
2022-12-01,55,M6,Media
2023-01-01,53,M6,Media
2023-02-01,55,M6,Media
2023-03-01,42,M6,Media
2023-04-01,45,M6,Media
2023-05-01,52,M6,Media
2023-06-01,54,M6,Media
2023-07-01,52,M6,Media
2023-08-01,46,M6,Media
2023-09-01,39,M6,Media
2023-10-01,44,M6,Media
2023-11-01,57,M6,Media
2023-12-01,47,M6,Media
2024-01-01,47,M6,Media
2021-02-01,54,M7,Media
2021-03-01,52,M7,Media
2021-04-01,52,M7,Media
2021-05-01,51,M7,Media
2021-06-01,54,M7,Media
2021-07-01,52,M7,Media
2021-08-01,49,M7,Media
2021-09-01,54,M7,Media
2021-10-01,51,M7,Media
2021-11-01,57,M7,Media
2021-12-01,74,M7,Media
2022-01-01,68,M7,Media
2022-02-01,70,M7,Media
2022-03-01,78,M7,Media
2022-04-01,73,M7,Media
2022-05-01,68,M7,Media
2022-06-01,74,M7,Media
2022-07-01,69,M7,Media
2022-08-01,71,M7,Media
2022-09-01,76,M7,Media
2022-10-01,76,M7,Media
2022-11-01,91,M7,Media
2022-12-01,89,M7,Media
2023-01-01,81,M7,Media
2023-02-01,80,M7,Media
2023-03-01,77,M7,Media
2023-04-01,84,M7,Media
2023-05-01,80,M7,Media
2023-06-01,79,M7,Media
2023-07-01,77,M7,Media
2023-08-01,78,M7,Media
2023-09-01,81,M7,Media
2023-10-01,85,M7,Media
2023-11-01,100,M7,Media
2023-12-01,88,M7,Media
2024-01-01,81,M7,Media
